Entity,Code,Year,Renewables (% equivalent primary energy)
South Africa,ZAF,1987,0.5051980018615723
South Africa,ZAF,1988,0.8970548510551453
South Africa,ZAF,1989,0.8193387389183044
South Africa,ZAF,1990,0.2900504469871521
South Africa,ZAF,1991,0.5727413892745972
South Africa,ZAF,1992,0.21651150286197662
South Africa,ZAF,1993,0.042108479887247086
South Africa,ZAF,1994,0.2969961166381836
South Africa,ZAF,1995,0.13997532427310944
South Africa,ZAF,1996,0.35900458693504333
South Africa,ZAF,1997,0.5707284212112427
South Africa,ZAF,1998,0.4763036072254181
South Africa,ZAF,1999,0.23447948694229126
South Africa,ZAF,2000,0.4055584669113159
South Africa,ZAF,2001,0.5403345227241516
South Africa,ZAF,2002,0.6535402536392212
South Africa,ZAF,2003,0.2989763021469116
South Africa,ZAF,2004,0.2939848303794861
South Africa,ZAF,2005,0.4043339192867279
South Africa,ZAF,2006,0.7259401679039001
South Africa,ZAF,2007,0.7023894190788269
South Africa,ZAF,2008,0.3504508435726166
South Africa,ZAF,2009,0.38785627484321594
South Africa,ZAF,2010,0.31502997875213623
South Africa,ZAF,2011,0.6983460783958435
South Africa,ZAF,2012,0.3148212134838104
South Africa,ZAF,2013,0.37065398693084717
South Africa,ZAF,2014,0.818098247051239
South Africa,ZAF,2015,1.2246651649475098
South Africa,ZAF,2016,1.6210166215896606
South Africa,ZAF,2017,2.406186103820801
South Africa,ZAF,2018,2.6591577529907227
South Africa,ZAF,2019,2.6449363231658936
South Africa,ZAF,2020,3.1502459049224854
South Africa,ZAF,2021,3.4086079597473145
South America,,1965,11.023402214050293
South America,,1966,11.543425559997559
South America,,1967,11.780559539794922
South America,,1968,11.697651863098145
South America,,1969,12.044194221496582
South America,,1970,13.62198257446289
South America,,1971,14.387364387512207
South America,,1972,15.23875617980957
South America,,1973,15.491369247436523
South America,,1974,16.686647415161133
South America,,1975,17.777019500732422
South America,,1976,18.434003829956055
South America,,1977,19.28297233581543
South America,,1978,20.00882339477539
South America,,1979,21.08892059326172
South America,,1980,22.76382827758789
South America,,1981,23.091262817382812
South America,,1982,24.369810104370117
South America,,1983,25.90607452392578
South America,,1984,27.27581787109375
South America,,1985,28.32496452331543
South America,,1986,28.48862648010254
South America,,1987,29.286306381225586
South America,,1988,29.289913177490234
South America,,1989,29.60606575012207
South America,,1990,30.77764892578125
South America,,1991,31.83687973022461
South America,,1992,30.953725814819336
South America,,1993,31.998836517333984
South America,,1994,31.95983123779297
South America,,1995,31.717998504638672
South America,,1996,31.687618255615234
South America,,1997,31.808338165283203
South America,,1998,31.411378860473633
South America,,1999,31.232824325561523
South America,,2000,32.478721618652344
South America,,2001,30.829071044921875
South America,,2002,31.812137603759766
South America,,2003,32.6981315612793
South America,,2004,31.918701171875
South America,,2005,32.54806137084961
South America,,2006,32.51108932495117
South America,,2007,32.02057647705078
South America,,2008,31.325286865234375
South America,,2009,32.41624069213867
South America,,2010,30.95347023010254
South America,,2011,31.315364837646484
South America,,2012,29.988754272460938
South America,,2013,28.540733337402344
South America,,2014,27.95880699157715
South America,,2015,28.051345825195312
South America,,2016,29.5870418548584
South America,,2017,30.41577911376953
South America,,2018,31.61707878112793
South America,,2019,32.16604232788086
South America,,2020,34.75529861450195
South America,,2021,32.356788635253906
South Korea,KOR,1965,2.8078150749206543
South Korea,KOR,1966,3.2099153995513916
South Korea,KOR,1967,2.7027177810668945
South Korea,KOR,1968,2.29959774017334
South Korea,KOR,1969,2.9266607761383057
South Korea,KOR,1970,2.155395030975342
South Korea,KOR,1971,2.1541755199432373
South Korea,KOR,1972,2.153486490249634
South Korea,KOR,1973,1.6347564458847046
South Korea,KOR,1974,2.332909107208252
South Korea,KOR,1975,1.8735325336456299
South Korea,KOR,1976,1.7800427675247192
South Korea,KOR,1977,1.2054132223129272
South Korea,KOR,1978,1.396591067314148
South Korea,KOR,1979,1.539095163345337
South Korea,KOR,1980,1.250689148902893
South Korea,KOR,1981,1.6159815788269043
South Korea,KOR,1982,1.0666205883026123
South Korea,KOR,1983,1.312051773071289
South Korea,KOR,1984,1.0462830066680908
South Korea,KOR,1985,1.5088706016540527
South Korea,KOR,1986,1.3128159046173096
South Korea,KOR,1987,1.5100772380828857
South Korea,KOR,1988,0.6779970526695251
South Korea,KOR,1989,0.9301869869232178
South Korea,KOR,1990,1.2995164394378662
South Korea,KOR,1991,0.8552601337432861
South Korea,KOR,1992,0.6740404963493347
South Korea,KOR,1993,0.8389674425125122
South Korea,KOR,1994,0.4319862127304077
South Korea,KOR,1995,0.5102640390396118
South Korea,KOR,1996,0.43619704246520996
South Korea,KOR,1997,0.40268635749816895
South Korea,KOR,1998,0.6597698330879211
South Korea,KOR,1999,0.5936902761459351
South Korea,KOR,2000,0.5420218110084534
South Korea,KOR,2001,0.312198281288147
South Korea,KOR,2002,0.4185769259929657
South Korea,KOR,2003,0.5985386967658997
South Korea,KOR,2004,0.5346380472183228
